name,isbn,author,subject,languageid,publisher,countryid,productcategoryid,paperqualityid,retailprice,vendorid,productcost
Aao Urdu Sekhan - Awal,978-969-703-046-0,Munawar Jahan,Urdu,169,Fidem Education Network,168,1,5,240,1,50
Aao Urdu Sekhan - Doyum,978-969-703-047-7,Munawar Jahan,Urdu,169,Fidem Education Network,168,1,5,250,1,50
Aao Urdu Sekhan - Soom,978-969-703-048-4,Munawar Jahan,Urdu,169,Fidem Education Network,168,1,5,260,1,50
Aasan Islamiat Book 1,978-969-9705-05-2,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,2,5,180,1,50
Aasan Islamiat Book 1 (TG),978-969-9705-25-0,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,7,5,140,1,50
Aasan Islamiat Book 2,978-969-9705-06-9,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,2,5,140,1,50
Aasan Islamiat Book 2 (TG),978-969-9705-26-7,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,7,5,200,1,50
Aasan Islamiat Book 3,978-969-9705-07-6,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,2,5,220,1,50
Aasan Islamiat Book 3 (TG),978-969-9705-27-4,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,7,5,150,1,50
Aasan Islamiat Book 4,978-969-9705-08-3,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,2,5,185,1,50
Aasan Islamiat Book 4 (TG),978-969-9705-28-1,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,7,5,250,1,50
Aasan Islamiat Book 5,978-969-9705-09-0,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,2,5,250,1,50
Aasan Islamiat Book 5 (TG),978-969-9705-29-8,Ahsan Waqar Ahmed,Islamiat,169,Fidem Education Network,168,7,5,180,1,50
Asan Islamiat Book 6,978-969-9705-62-5,Col. Ammer Hussain Jami,Islamiat,169,Fidem Education Network,168,3,5,265,1,50
Asan Islamiat Book 7,978-969-9705-63-2,Col. Ammer Hussain Jami,Islamiat,169,Fidem Education Network,168,3,5,275,1,50
